Product Id,Product Handle,Product Title,Product Subtitle,Product Description,Product Status,Product Thumbnail,Product Weight,Product Length,Product Width,Product Height,Product Origin Country,Product Material,Product Collection Id,Product Type Id,Product Discountable,Product External Id,Product Created At,Product Deleted At,Product Hs Code,Product Image 1,Product Image 10,Product Image 2,Product Image 3,Product Image 4,Product Image 5,Product Image 6,Product Image 7,Product Image 8,Product Image 9,Product Is Giftcard,Product Mid Code,Product Sales Channel 1,Product Updated At,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price Europe [EUR],Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01K6T12E0B6CA50Z20PWE5CFZ7,wireless-keyboard-touch-id-numeric-keypad,Wireless Keyboard | Touch ID | Numeric Keypad,,"This wireless keyboard offers a comfortable typing experience with a numeric keypad and Touch ID. It features navigation buttons, full-sized arrow keys, and is ideal for spreadsheets and gaming. The rechargeable battery lasts about a month. It pairs automatically with compatible computers and includes a USB-C to Lightning cable for charging and pairing.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png,400,,,,,,,,true,,2025-10-05T11:10:51.404Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-side.png,,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.404Z,variant_01K6T12E0WYAQD0RXNVJD365NG,Keyboard Black,KEYBOARD-BLACK,,,,,false,false,,2025-10-05T11:10:51.420Z,,,,,,Color,Black,,,,99,,99,prod_01K6T12E0B6CA50Z20PWE5CFZ7,2025-10-05T11:10:51.420Z,0,,
prod_01K6T12E0B6CA50Z20PWE5CFZ7,wireless-keyboard-touch-id-numeric-keypad,Wireless Keyboard | Touch ID | Numeric Keypad,,"This wireless keyboard offers a comfortable typing experience with a numeric keypad and Touch ID. It features navigation buttons, full-sized arrow keys, and is ideal for spreadsheets and gaming. The rechargeable battery lasts about a month. It pairs automatically with compatible computers and includes a USB-C to Lightning cable for charging and pairing.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png,400,,,,,,,,true,,2025-10-05T11:10:51.404Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-front.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/keyboard-side.png,,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.404Z,variant_01K6T12E0WJJ2TNHF6ZQR64KPG,Keyboard White,KEYBOARD-WHITE,,,,,false,false,,2025-10-05T11:10:51.421Z,,,,,,Color,White,,,,99,,99,prod_01K6T12E0B6CA50Z20PWE5CFZ7,2025-10-05T11:10:51.421Z,0,,
prod_01K6T12E20MM1ZEYGXFK23XAGZ,wireless-rechargeable-mouse-multi-touch-surface,Wireless Rechargeable Mouse | Multi-Touch Surface,,"This wireless keyboard offers a comfortable typing experience with a numeric keypad and Touch ID. It features navigation buttons, full-sized arrow keys, and is ideal for spreadsheets and gaming. The rechargeable battery lasts about a month. It pairs automatically with compatible computers and includes a USB-C to Lightning cable for charging and pairing.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/mouse-top.png,400,,,,,,,,true,,2025-10-05T11:10:51.457Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/mouse-top.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/mouse-front.png,,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.457Z,variant_01K6T12E2JGZJ0KSY0PDA75JDK,Mouse Black,MOUSE-BLACK,,,,,false,false,,2025-10-05T11:10:51.474Z,,,,,,Color,Black,,,,79,,79,prod_01K6T12E20MM1ZEYGXFK23XAGZ,2025-10-05T11:10:51.474Z,0,,
prod_01K6T12E20MM1ZEYGXFK23XAGZ,wireless-rechargeable-mouse-multi-touch-surface,Wireless Rechargeable Mouse | Multi-Touch Surface,,"This wireless keyboard offers a comfortable typing experience with a numeric keypad and Touch ID. It features navigation buttons, full-sized arrow keys, and is ideal for spreadsheets and gaming. The rechargeable battery lasts about a month. It pairs automatically with compatible computers and includes a USB-C to Lightning cable for charging and pairing.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/mouse-top.png,400,,,,,,,,true,,2025-10-05T11:10:51.457Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/mouse-top.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/mouse-front.png,,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.457Z,variant_01K6T12E2JNA74MNTBP3E0HN8G,Mouse White,MOUSE-WHITE,,,,,false,false,,2025-10-05T11:10:51.474Z,,,,,,Color,White,,,,79,,79,prod_01K6T12E20MM1ZEYGXFK23XAGZ,2025-10-05T11:10:51.474Z,0,,
prod_01K6T12E3P8CP1W3CZQY6DQHCN,conference-speaker-high-performance-budget-friendly,Conference Speaker | High-Performance | Budget-Friendly,,"This compact, powerful conference speaker offers exceptional, high-performance features at a surprisingly affordable price. Packed with advanced productivity-enhancing technology, it delivers premium functionality without the premium price tag. Experience better meetings and improved communication, regardless of where your team members are calling from.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/speaker-top.png,400,,,,,,,,true,,2025-10-05T11:10:51.511Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/speaker-top.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/speaker-front.png,,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.511Z,variant_01K6T12E4656YMRT60ZA91YJ61,Speaker Black,SPEAKER-BLACK,,,,,false,false,,2025-10-05T11:10:51.526Z,,,,,,Color,Black,,,,79,,79,prod_01K6T12E3P8CP1W3CZQY6DQHCN,2025-10-05T11:10:51.526Z,0,,
prod_01K6T12E3P8CP1W3CZQY6DQHCN,conference-speaker-high-performance-budget-friendly,Conference Speaker | High-Performance | Budget-Friendly,,"This compact, powerful conference speaker offers exceptional, high-performance features at a surprisingly affordable price. Packed with advanced productivity-enhancing technology, it delivers premium functionality without the premium price tag. Experience better meetings and improved communication, regardless of where your team members are calling from.",published,https://medusa-public-images.s3.eu-west-1.amazonaws.com/speaker-top.png,400,,,,,,,,true,,2025-10-05T11:10:51.511Z,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/speaker-top.png,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/speaker-front.png,,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T11:10:51.511Z,variant_01K6T12E46X52ARER4XQ100DT1,Speaker White,SPEAKER-WHITE,,,,,false,false,,2025-10-05T11:10:51.527Z,,,,,,Color,White,,,,55,,55,prod_01K6T12E3P8CP1W3CZQY6DQHCN,2025-10-05T11:10:51.527Z,0,,
prod_01K6V5VT6FY0TRQ58Y0Y8A2ZPD,regular-fit-kolej-yaka-bomber-fermuarli-mont-3320695,Regular Fit College Collar Bomber Jacket,Regular Fit College Collar Bomber Jacket,,published,http://localhost:9000/static/1759701231793-C5844AX_25AU_BK27_01_02.jpg,,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T21:53:51.827Z,,,http://localhost:9000/static/1759701231793-C5844AX_25AU_BK27_01_02.jpg,,http://localhost:9000/static/1759701231794-C5844AX_25AU_BK27_02_03.jpg,http://localhost:9000/static/1759701231794-C5844AX_25AU_BK27_03_02.jpg,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T21:53:51.827Z,variant_01K6V5VT8HE4169FV3VG29DCMB,Red / S,Red-S,,,,,true,false,,2025-10-05T21:53:51.893Z,,,,,,Color,Red,Size,S,,100,100,150,prod_01K6V5VT6FY0TRQ58Y0Y8A2ZPD,2025-10-05T21:53:51.893Z,0,,
prod_01K6V5VT6FY0TRQ58Y0Y8A2ZPD,regular-fit-kolej-yaka-bomber-fermuarli-mont-3320695,Regular Fit College Collar Bomber Jacket,Regular Fit College Collar Bomber Jacket,,published,http://localhost:9000/static/1759701231793-C5844AX_25AU_BK27_01_02.jpg,,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T21:53:51.827Z,,,http://localhost:9000/static/1759701231793-C5844AX_25AU_BK27_01_02.jpg,,http://localhost:9000/static/1759701231794-C5844AX_25AU_BK27_02_03.jpg,http://localhost:9000/static/1759701231794-C5844AX_25AU_BK27_03_02.jpg,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T21:53:51.827Z,variant_01K6V5VT8H0W5E5WM0EFV4H31Z,Black / S,Black / S,,,,,true,false,,2025-10-05T21:53:51.893Z,,,,,,Color,Black,Size,S,,100,100,150,prod_01K6V5VT6FY0TRQ58Y0Y8A2ZPD,2025-10-05T21:53:51.893Z,1,,
prod_01K6V5VT6FY0TRQ58Y0Y8A2ZPD,regular-fit-kolej-yaka-bomber-fermuarli-mont-3320695,Regular Fit College Collar Bomber Jacket,Regular Fit College Collar Bomber Jacket,,published,http://localhost:9000/static/1759701231793-C5844AX_25AU_BK27_01_02.jpg,,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T21:53:51.827Z,,,http://localhost:9000/static/1759701231793-C5844AX_25AU_BK27_01_02.jpg,,http://localhost:9000/static/1759701231794-C5844AX_25AU_BK27_02_03.jpg,http://localhost:9000/static/1759701231794-C5844AX_25AU_BK27_03_02.jpg,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T21:53:51.827Z,variant_01K6V5VT8HVKQBKQ353ZVJPZR2,Green / S,Green / S,,,,,true,false,,2025-10-05T21:53:51.893Z,,,,,,Color,Green,Size,S,,100,100,150,prod_01K6V5VT6FY0TRQ58Y0Y8A2ZPD,2025-10-05T21:53:51.893Z,2,,
prod_01K6V5VT6FY0TRQ58Y0Y8A2ZPD,regular-fit-kolej-yaka-bomber-fermuarli-mont-3320695,Regular Fit College Collar Bomber Jacket,Regular Fit College Collar Bomber Jacket,,published,http://localhost:9000/static/1759701231793-C5844AX_25AU_BK27_01_02.jpg,,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-05T21:53:51.827Z,,,http://localhost:9000/static/1759701231793-C5844AX_25AU_BK27_01_02.jpg,,http://localhost:9000/static/1759701231794-C5844AX_25AU_BK27_02_03.jpg,http://localhost:9000/static/1759701231794-C5844AX_25AU_BK27_03_02.jpg,,,,,,,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-05T21:53:51.827Z,variant_01K6V5VT8HT9YKZHRWX2CPWS87,Red / M,Red / M,,,,,true,false,,2025-10-05T21:53:51.894Z,,,,,,Color,Red,Size,M,,100,100,150,prod_01K6V5VT6FY0TRQ58Y0Y8A2ZPD,2025-10-05T21:53:51.894Z,3,,
prod_01K6WA57P4Q8TRKZD4J62X44S3,regular-fit-dik-yaka-mont-3323250,Regular Fit Standing Collar Zippered Jacket,Regular Fit Standing Collar Zippered Jacket,,published,http://localhost:9000/static/1759739289250-C6214AX_25AU_GR158_01_01.jpg,,,,,,,pcol_01K6T12DMYFVYE897XQ1WX5K40,,true,,2025-10-06T08:28:09.290Z,,,http://localhost:9000/static/1759739289250-C6214AX_25AU_GR158_01_01.jpg,http://localhost:9000/static/1759739289251-C6214AX_25AU_GR158_10_01.jpg,http://localhost:9000/static/1759739289250-C6214AX_25AU_GR158_02_01.jpg,http://localhost:9000/static/1759739289250-C6214AX_25AU_GR158_03_01.jpg,http://localhost:9000/static/1759739289250-C6214AX_25AU_GR158_04_01.jpg,http://localhost:9000/static/1759739289251-C6214AX_25AU_GR158_05_01.jpg,http://localhost:9000/static/1759739289251-C6214AX_25AU_GR158_06_01.jpg,http://localhost:9000/static/1759739289251-C6214AX_25AU_GR158_07_01.jpg,http://localhost:9000/static/1759739289251-C6214AX_25AU_GR158_08_01.jpg,http://localhost:9000/static/1759739289251-C6214AX_25AU_GR158_09_01.jpg,false,,sc_01K6T0ZFDY9KR5JYAFFAB1G974,2025-10-06T08:28:09.290Z,variant_01K6WA57T8ZFPJJ2F8K63Q1ZA3,Red / S,,,,,,true,false,,2025-10-06T08:28:09.418Z,,,,,,Color,Red,Size,S,,3499,3499,3499,prod_01K6WA57P4Q8TRKZD4J62X44S3,2025-10-06T08:28:09.418Z,0,,
